hotel_id;seccion;poi
13;Transporte público;"TrenRecoletos
2,2 km"
13;Transporte público;"AutobúsAlcala - Virgen del Sagrario
6 km"
13;Transporte público;"AutobúsMadre Antonia de Paris
6 km"
13;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
13 km"
13;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
22 km"
14;¿Qué hay cerca?;"Iglesia de la Buena Dicha
150 m"
14;¿Qué hay cerca?;"Palacio De La Prensa
150 m"
14;¿Qué hay cerca?;"Mala Sangre Tattoo Studio
200 m"
14;¿Qué hay cerca?;"Parque Infantil Plaza de Santo Domingo
250 m"
14;¿Qué hay cerca?;"Coliseum
300 m"
14;¿Qué hay cerca?;"El Invernadero
300 m"
